compound_id,base_rdkit_smiles,average_logP,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL106070,CNC(=O)ON=C(C)C(C)(C)[N+](=O)[O-],0.66,11.43161423,-4.307172973,11.43161423,0.799450113,0.317048232,203.198,190.094,203.0906059,80,0,0.43258993,-0.322658179,0.43258993,0.322658179,1.785714286,2.5,2.928571429,6.650477693,601.3586245,22.22361464,19.47463395,6.474633948,11.61393153,9.297611634,2.850398039,1.876411883,1.876411883,0.922876738,0.922876738,0.257626612,0.257626612,-1.66,104484.155,2.678552241,4.540984586,2.999964427,99.57884307,5.309813353,5.711685003,1.411842078,0,5.538925252,6.093240071,14.95190685,4.794537184,0,0,5.155712727,6.851892117,42.05202486,0,32.41638157,11.80492507,0,5.309813353,5.155712727,26.0946016,6.9758269,10.11431827,0,0,5.309813353,4.794537184,0,0,29.24298828,4.837588584,10.11431827,37.00477903,5.155712727,1.411842078,0,0,93.83,55.10847798,14.90885545,0,0,0,0,0,0,0,9.99330131,17.86094475,92.29394766,0,24.76914805,13.10551225,-6.45319905,0,0,-2.161961451,-15.47011413,0,0.714285714,14,1,7,0,0,0,0,0,0,5,1,7,7,0,0,0,0,0.7736,49.7231,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL104207,CCc1cnc(N=S(=O)(O)c2ccc(N)cc2)nc1,0.9,13.15921261,-4.67858127,13.15921261,0.203859661,0.838334028,278.337,264.225,278.0837467,100,0,0.25925923,-0.398727726,0.398727726,0.25925923,1.578947368,2.315789474,2.894736842,2.837854715,1171.627349,25.67928009,23.01359925,9.830095834,14.90160744,11.36434793,6.00173578,2.991297971,4.532253127,1.709058232,2.832747504,0.935074585,1.68301016,-1.99,4891375.38,4.255157397,5.331777431,3.267864722,131.1516274,5.719716976,0,12.83357007,1.431199657,5.948339281,0,4.55503067,14.17685553,0,4.362699291,6.851892117,36.10605122,24.88696948,13.12003481,26.66595744,21.64561146,1.431199657,9.967957042,4.362699291,18.12030049,5.719716976,42.07891674,0,0,5.719716976,11.63572556,0,0,18.7318862,16.38281081,0,27.49368773,45.77364802,2.823684157,1.431199657,0,101.46,81.8448287,4.208898492,0,5.719716976,0,0,0,0,0,18.885687,19.33322793,126.3883608,0,5.680416942,0,-2.014789276,-1.017695211,-4.074954011,-5.406838325,-3.292586339,-4.67858127,0.166666667,19,3,6,0,0,0,1,1,2,6,2,7,6,0,0,0,2,2.2528,73.3896,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL113671,CCCCNC(=O)CCn1ccc(=O)c(O)c1C,-0.1,12.89494953,-4.359641322,12.89494953,0.508664848,0.746474072,252.314,232.154,252.1473925,100,0,0.293361548,-0.502922153,0.502922153,0.293361548,1.833333333,2.722222222,3.444444444,3.94186862,1148.77545,30.82590893,28.61917206,8.619172062,16.49014029,14.08586831,4.230406424,2.594631445,2.594631445,1.476634433,1.476634433,0.750626121,0.750626121,-1.78,18573386.22,2.86406759,6.83475712,3.907260278,134.6918365,14.98572119,0,7.161353912,11.33597012,1.431199657,0,9.589074368,0,0,0,13.22481702,13.22481702,50.77257797,11.17696222,35.98884146,5.907179729,1.431199657,9.876913001,0,39.31941862,6.496859684,28.13256949,0,5.749511833,10.73860375,0,5.749511833,0,23.51114691,11.29139687,6.851892117,56.33824883,17.0098511,1.411842078,0,0,71.33,90.68791518,9.589074368,0,0,0,0,0,0,0,5.108808191,27.51669575,151.984364,0,25.06090632,2.681187016,-3.345011213,-4.189286152,-1.506814969,-14.37155768,-16.06378734,0,0.538461538,18,2,5,0,0,0,0,1,1,4,2,5,9,0,0,0,1,1.16872,69.6385,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL110479,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,4.61,14.17071557,-4.762648999,14.17071557,0.049772081,0.636532301,415.534,389.326,415.1729763,154,0,0.210690619,-0.490845684,0.490845684,0.210690619,1.482758621,2.275862069,3.034482759,2.022662362,1952.946079,42.98868116,39.94435013,14.76084671,24.42831644,20.40670564,8.314953926,4.95536266,5.932883467,3.053105263,4.00907611,1.851214108,2.648704358,-2.22,98846504835,5.720307547,9.068775393,5.040400173,210.517706,19.64549061,24.20573594,5.13155848,1.431199657,0,0,0,9.374393569,0,0,23.42162329,49.00036205,50.30415965,26.66572331,48.5050501,26.68496499,1.431199657,9.883888252,0,24.8437603,37.92530093,54.1565705,0,5.749511833,9.636772685,9.521973528,5.749511833,11.33678588,61.54719779,0,5.817220841,47.01481371,48.33934966,0,10.21662063,0,48.83,142.9232324,5.761173604,0,11.33678588,0,0,0,0,0,10.09278671,39.06626796,235.7077065,0.049772081,2.162642846,2.808331595,-0.665295521,-3.289870926,-13.71872145,-13.81945172,-22.48511336,0,0.409090909,29,1,5,0,1,1,2,1,3,6,1,7,9,0,1,1,4,3.7759,115.3868,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL100572,O=C(O)c1cccc2ccccc12,3.1,11.64457955,-1.316175359,11.64457955,0.345,0.717208099,172.183,164.119,172.0524295,64,0,0.33581577,-0.477623278,0.477623278,0.33581577,1.230769231,2,2.846153846,3.213747014,778.1076073,16.05795974,14.31649658,6.316496581,9.734157225,7.316496581,3.40824829,2.287457479,2.287457479,1.516624145,1.516624145,0.965593109,0.965593109,-1.83,37122.62226,2.839770756,2.90080833,1.26448301,86.76019988,5.108808191,0,0,0,1.431199657,5.969305288,0,4.794537184,0,0,36.25451225,16.81486714,0,15.15876138,19.49865527,16.74175372,1.431199657,0,0,0,0,47.86038245,0,0,0,0,0,0,11.07811348,0,0,19.95329857,42.29693095,0,12.20364809,0,37.3,53.82968773,4.794537184,0,10.77244843,0,0,0,0,0,5.108808191,11.02650955,60.48139479,0,11.64457955,3.048946287,-0.617592593,-1.316175359,-4.40781935,0,0,0,0,13,1,2,0,0,0,2,0,2,2,1,2,1,0,0,0,2,2.538,50.9073,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL104089,C1OC1CN1CCN(CC2CO2)CC1,-0.84,8.150892857,-4.034727891,8.150892857,0.697988946,0.564649944,198.266,180.122,198.1368278,80,0,0.093598158,-0.371734194,0.371734194,0.093598158,1.071428571,1.428571429,1.714285714,2.243376901,747.6170154,25.5689141,24.71092377,6.710923772,13.64626437,12.65813737,3.658137367,2.408137367,2.408137367,1.382159176,1.382159176,0.713113719,0.713113719,-0.16,2425391.054,1.992532569,3.773663406,2.447923067,110.0424634,9.473725908,0,0,0,0,0,9.799819462,0,0,0,0,0,55.43026078,33.50255788,34.14737992,0,0,9.799819462,0,12.16003605,52.09912859,0,0,0,0,0,0,0,74.05898411,9.473725908,0,24.67365401,0,0,0,0,31.54,74.05898411,0,0,0,0,0,0,0,0,9.473725908,24.67365401,151.4969795,0,-1.395977891,0,0,0,0,-6.607523148,-29.99347847,0,1,14,0,4,0,3,3,0,0,0,4,0,4,4,0,3,3,3,-0.5984,52.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL113861,COc1cccc(OC)c1C(O)=Nc1nnc(-c2ccccc2)s1,3.5,8.085626822,-3.248185586,8.085626822,0.197335338,0.563142082,341.392,326.272,341.0834123,122,0,0.294859936,-0.495778221,0.495778221,0.294859936,1.125,1.875,2.541666667,2.290032529,1396.446884,29.61000151,26.47463395,12.29113053,17.873917,13.4315445,6.839792789,3.919117222,4.87508807,2.549562792,3.384196697,1.581626189,2.250541294,-2.93,145065923.8,5.855898317,7.096608363,3.206128297,163.7664051,14.5825341,22.07009886,0,11.02930382,1.431199657,0,0,0,4.992404733,10.19736362,47.59129812,12.08483742,5.563451492,33.2665247,33.77315389,22.3660897,1.431199657,10.19736362,4.992404733,0,14.07590492,53.90280115,0,22.07009886,9.473725908,5.13155848,11.49902367,11.33678588,35.27982207,0,0,24.75407128,53.33175439,0,12.00227485,0,76.83,90.50703356,0,0,10.57107519,11.33678588,0,0,0,0,20.29857654,30.09554535,124.8227918,0.549908405,3.851827916,11.27970005,-1.185743028,-2.979187651,-6.009592987,0,0,-6.496371172,0.117647059,24,1,6,0,0,0,2,1,3,7,1,7,7,0,0,0,3,3.8586,93.7168,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL106769,CC1CN(C)C(=Nc2ncc([N+](=O)[O-])s2)N1,1.95,10.79312167,-3.463811177,10.79312167,0.135692082,0.615589116,241.276,230.188,241.0633456,86,0,0.345244827,-0.351627323,0.351627323,0.345244827,2.1875,3.0625,3.6875,2.730628598,803.6580382,21.16277223,18.46081285,8.27730943,11.95824956,9.206678235,4.575961221,2.489932597,3.445903445,1.426125204,2.224981032,0.845117758,1.402457499,-1.7,322972.3401,3.6570241,4.046244646,2.107350159,111.48102,10.20972308,6.172895211,1.411842078,11.09111305,0,5.001081977,10.11431827,4.983978521,4.992404733,0,0,18.188678,27.71513039,10.40634527,20.04273869,27.4289809,0,15.19370161,4.992404733,12.86978459,13.47268658,16.28721348,0,0,5.309813353,10.13264046,0,11.33678588,40.25733292,0,10.11431827,20.55947768,11.16529994,1.411842078,0,0,83.66,53.53087246,10.11431827,0,21.54650896,0,0,0,0,0,9.976383254,15.11942764,83.79950397,0.247101049,16.68655031,9.267680873,0,-1.102062075,-3.374780722,-0.796037454,-10.22795596,0,0.5,16,1,7,0,1,1,0,1,1,5,1,8,4,0,1,1,2,0.9623,61.0911,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL102727,O=C(O)c1ccc[nH]1,0.85,10.78342593,-1.215740741,10.78342593,0.293194444,0.560397959,111.1,106.06,111.0320284,42,0,0.351789192,-0.476567296,0.476567296,0.351789192,2.25,3.125,3.625,3.370574659,334.7969859,10.1712084,8.763710176,3.763710176,6.002106418,4.210923772,1.855461886,1.109671074,1.109671074,0.597857663,0.597857663,0.295629681,0.295629681,-1.25,767.2449268,1.61645541,1.694489796,0.702662722,53.1308409,10.08581146,5.693927995,1.411842078,0,1.431199657,5.969305288,0,4.794537184,0,0,0,12.08483742,6.172895211,4.112275669,15.42746312,5.969305288,1.431199657,4.97700327,0,0,0,23.95166062,0,0,0,0,0,0,16.05511675,0,0,14.60074085,18.25773263,1.411842078,1.431199657,0,53.09,29.92096591,4.794537184,0,0,4.97700327,0,0,0,0,5.108808191,6.955317404,34.6837037,0,11.07662037,3.549814815,-0.578703704,-1.215740741,-1.104027778,-0.578333333,0,0,0,8,2,3,0,0,0,0,1,1,2,2,3,1,0,0,0,1,0.7129,27.752,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL110461,C=C1NC(C)=C(C(=O)OCC)C(c2ccccc2C=CC(=O)OC(C)(C)C)C1C(=O)OCC,5.2,14.37867115,-4.955550831,14.37867115,0.884991596,0.373164568,455.551,422.287,455.2307878,178,0,0.335922944,-0.465454417,0.465454417,0.335922944,1.333333333,2.090909091,2.787878788,3.732254421,2214.649402,52.85892465,48.89670334,15.89670334,28.82365061,24.4815445,8.034330903,5.487886011,5.487886011,3.365772249,3.365772249,2.299486392,2.299486392,-3.35,2.70558E+12,6.007269756,10.98681903,6.570353189,241.4527525,19.52040221,11.4950085,1.411842078,0,0,17.90791586,4.794537184,9.589074368,0,0,30.70071379,58.29032743,50.75527918,35.14017769,73.87031629,23.95998761,0,5.309813353,5.893957685,52.6063612,13.11797049,64.84687168,0,0,5.309813353,0,0,0,36.62693716,28.59420041,5.893957685,101.9964872,53.71996869,1.411842078,6.052071746,0,90.93,165.734962,17.12512866,0,0,0,0,0,0,0,14.21058886,42.53459876,278.8905871,0,42.27322857,-0.884991596,-15.87678591,-18.53469085,-11.911858,0,-36.70548931,0,0.423076923,33,1,7,0,1,1,1,0,1,7,1,7,10,0,0,0,2,4.2584,125.7937,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
